Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status,unit
01-01-2024,01:00,10.94862,R,ugm-3,15.40761,R,ugm-3,32.19526,R,ugm-3,15,R,ugm-3 (BAM)
01-01-2024,02:00,4.95068,R,ugm-3,9.49675,R,ugm-3,17.08769,R,ugm-3,8,R,ugm-3 (BAM)
01-01-2024,03:00,2.71335,R,ugm-3,5.02513,R,ugm-3,9.18555,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2024,04:00,1.96361,R,ugm-3,2.98453,R,ugm-3,5.99536,R,ugm-3,3,R,ugm-3 (BAM)
01-01-2024,05:00,1.7137,R,ugm-3,4.02777,R,ugm-3,6.6554,R,ugm-3,6,R,ugm-3 (BAM)
01-01-2024,06:00,2.53484,R,ugm-3,4.08877,R,ugm-3,7.97548,R,ugm-3,6,R,ugm-3 (BAM)
01-01-2024,07:00,6.46207,R,ugm-3,6.75764,R,ugm-3,16.666,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2024,08:00,4.89118,R,ugm-3,7.18618,R,ugm-3,14.68588,R,ugm-3,3,R,ugm-3 (BAM)
01-01-2024,09:00,5.03399,R,ugm-3,12.90757,R,ugm-3,20.62623,R,ugm-3,3,R,ugm-3 (BAM)
01-01-2024,10:00,7.1047,R,ugm-3,17.48797,R,ugm-3,28.3817,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2024,11:00,7.99725,R,ugm-3,14.52432,R,ugm-3,26.7866,R,ugm-3,5,R,ugm-3 (BAM)
01-01-2024,12:00,14.0309,R,ugm-3,22.04887,R,ugm-3,43.56261,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2024,13:00,10.6035,R,ugm-3,18.28359,R,ugm-3,34.54207,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2024,14:00,17.35118,R,ugm-3,28.39852,R,ugm-3,55.00329,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2024,15:00,17.42259,R,ugm-3,29.05908,R,ugm-3,55.77334,R,ugm-3,6,R,ugm-3 (BAM)
