Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit,Ozone,status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status,unit
01-01-2025,01:00,1.425,R,ugm-3 (FIDAS),1.48816,R,ugm-3,6.48238,R,ugm-3,8.76419,R,ugm-3,72.2634,R,ugm-3,0.778,R,ugm-3 (Ref.eq)
01-01-2025,02:00,0.95,R,ugm-3 (FIDAS),1.41184,R,ugm-3,6.24883,R,ugm-3,8.41362,R,ugm-3,75.50788,R,ugm-3,0.637,R,ugm-3 (Ref.eq)
01-01-2025,03:00,0.875,R,ugm-3 (FIDAS),1.60263,R,ugm-3,6.70124,R,ugm-3,9.15858,R,ugm-3,77.8122,R,ugm-3,0.542,R,ugm-3 (Ref.eq)
01-01-2025,04:00,1.125,R,ugm-3 (FIDAS),1.28783,R,ugm-3,5.73784,R,ugm-3,7.71249,R,ugm-3,79.2501,R,ugm-3,0.708,R,ugm-3 (Ref.eq)
01-01-2025,05:00,1.5,R,ugm-3 (FIDAS),1.00165,R,ugm-3,5.69462,R,ugm-3,7.23046,R,ugm-3,79.69252,R,ugm-3,0.849,R,ugm-3 (Ref.eq)
01-01-2025,06:00,1.4,R,ugm-3 (FIDAS),0.65822,R,ugm-3,4.81892,R,ugm-3,5.82819,R,ugm-3,80.63268,R,ugm-3,0.613,R,ugm-3 (Ref.eq)
01-01-2025,07:00,0.45,R,ugm-3 (FIDAS),0.4579,R,ugm-3,7.40478,R,ugm-3,8.10688,R,ugm-3,78.08872,R,ugm-3,0.189,R,ugm-3 (Ref.eq)
01-01-2025,08:00,0.3,R,ugm-3 (FIDAS),0.42928,R,ugm-3,6.17785,R,ugm-3,6.83607,R,ugm-3,79.13949,R,ugm-3,0.189,R,ugm-3 (Ref.eq)
01-01-2025,09:00,1.025,R,ugm-3 (FIDAS),0.37204,R,ugm-3,4.42514,R,ugm-3,4.99559,R,ugm-3,84.72515,R,ugm-3,0.519,R,ugm-3 (Ref.eq)
01-01-2025,10:00,4.2,R,ugm-3 (FIDAS),0.42928,R,ugm-3,4.86323,R,ugm-3,5.52144,R,ugm-3,81.57285,R,ugm-3,2.382,R,ugm-3 (Ref.eq)
01-01-2025,11:00,3.5,R,ugm-3 (FIDAS),0.42928,R,ugm-3,4.03063,R,ugm-3,4.68884,R,ugm-3,77.53568,R,ugm-3,1.722,R,ugm-3 (Ref.eq)
01-01-2025,12:00,4.525,R,ugm-3 (FIDAS),0.60099,R,ugm-3,4.29319,R,ugm-3,5.21469,R,ugm-3,72.50305,R,ugm-3,2.075,R,ugm-3 (Ref.eq)
01-01-2025,13:00,4.55,R,ugm-3 (FIDAS),0.80132,R,ugm-3,4.95009,R,ugm-3,6.17875,R,ugm-3,69.84848,R,ugm-3,2.618,R,ugm-3 (Ref.eq)
01-01-2025,14:00,3.95,R,ugm-3 (FIDAS),0.7727,R,ugm-3,5.21307,R,ugm-3,6.39786,R,ugm-3,67.69164,R,ugm-3,2.524,R,ugm-3 (Ref.eq)
01-01-2025,15:00,2.95,R,ugm-3 (FIDAS),0.74408,R,ugm-3,7.40418,R,ugm-3,8.54509,R,ugm-3,65.6454,R,ugm-3,1.604,R,ugm-3 (Ref.eq)
01-01-2025,16:00,3.3,R,ugm-3 (FIDAS),0.80132,R,ugm-3,8.71869,R,ugm-3,9.94736,R,ugm-3,64.42872,R,ugm-3,1.698,R,ugm-3 (Ref.eq)
01-01-2025,17:00,6.075,R,ugm-3 (FIDAS),0.91579,R,ugm-3,10.296,R,ugm-3,11.7002,R,ugm-3,62.16127,R,ugm-3,3.09,R,ugm-3 (Ref.eq)
01-01-2025,18:00,2.4,R,ugm-3 (FIDAS),0.60099,R,ugm-3,11.8304,R,ugm-3,12.7519,R,ugm-3,57.46047,R,ugm-3,1.91,R,ugm-3 (Ref.eq)
01-01-2025,19:00,3.875,R,ugm-3 (FIDAS),0.82994,R,ugm-3,14.45917,R,ugm-3,15.73172,R,ugm-3,52.98087,R,ugm-3,3.42,R,ugm-3 (Ref.eq)
