Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit,Ozone,status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status,unit
01-01-2025,01:00,2.725,R,ugm-3 (FIDAS),0.36385,R,ugm-3,1.26702,R,ugm-3,1.82491,R,ugm-3,74.61653,R,ugm-3,1.58,R,ugm-3 (Ref.eq)
01-01-2025,02:00,1.625,R,ugm-3 (FIDAS),0.59125,R,ugm-3,1.33947,R,ugm-3,2.24604,R,ugm-3,77.5454,R,ugm-3,0.613,R,ugm-3 (Ref.eq)
01-01-2025,03:00,1.35,R,ugm-3 (FIDAS),0.40933,R,ugm-3,0.7937,R,ugm-3,1.42132,R,ugm-3,80.02099,R,ugm-3,0.519,R,ugm-3 (Ref.eq)
01-01-2025,04:00,1.525,R,ugm-3 (FIDAS),0.47755,R,ugm-3,0.26796,R,ugm-3,1.00019,R,ugm-3,81.69463,R,ugm-3,0.731,R,ugm-3 (Ref.eq)
01-01-2025,05:00,1.7,R,ugm-3 (FIDAS),0.61399,R,ugm-3,0.26932,R,ugm-3,1.21076,R,ugm-3,82.84526,R,ugm-3,0.92,R,ugm-3 (Ref.eq)
01-01-2025,06:00,1.45,R,ugm-3 (FIDAS),0.40933,R,ugm-3,1.32012,R,ugm-3,1.94774,R,ugm-3,81.74694,R,ugm-3,0.731,R,ugm-3 (Ref.eq)
01-01-2025,07:00,1.05,R,ugm-3 (FIDAS),0.54577,R,ugm-3,2.90072,R,ugm-3,3.73756,R,ugm-3,77.92894,R,ugm-3,0.33,R,ugm-3 (Ref.eq)
01-01-2025,08:00,0.875,R,ugm-3 (FIDAS),0.54577,R,ugm-3,4.0062,R,ugm-3,4.84303,R,ugm-3,75.99379,R,ugm-3,0.283,R,ugm-3 (Ref.eq)
01-01-2025,09:00,1.725,R,ugm-3 (FIDAS),0.57988,R,ugm-3,4.79616,R,ugm-3,5.68529,R,ugm-3,78.50426,R,ugm-3,0.66,R,ugm-3 (Ref.eq)
01-01-2025,10:00,4.375,R,ugm-3 (FIDAS),0.85276,R,ugm-3,4.53567,R,ugm-3,5.84322,R,ugm-3,78.03354,R,ugm-3,2.005,R,ugm-3 (Ref.eq)
01-01-2025,11:00,4.85,R,ugm-3 (FIDAS),1.05743,R,ugm-3,4.9062,R,ugm-3,6.52756,R,ugm-3,74.58166,R,ugm-3,2.123,R,ugm-3 (Ref.eq)
01-01-2025,12:00,4.675,R,ugm-3 (FIDAS),1.43264,R,ugm-3,5.69955,R,ugm-3,7.89624,R,ugm-3,69.66534,R,ugm-3,2.241,R,ugm-3 (Ref.eq)
01-01-2025,13:00,4,R,ugm-3 (FIDAS),2.25129,R,ugm-3,10.39281,R,ugm-3,13.84474,R,ugm-3,61.24483,R,ugm-3,2.406,R,ugm-3 (Ref.eq)
01-01-2025,14:00,5.15,R,ugm-3 (FIDAS),2.66062,R,ugm-3,13.23953,R,ugm-3,17.31909,R,ugm-3,56.1716,R,ugm-3,2.877,R,ugm-3 (Ref.eq)
