Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status,unit
01-01-2025,01:00,2.47871,R,ugm-3,6.45027,R,ugm-3,10.2509,R,ugm-3,5,R,ugm-3 (BAM)
01-01-2025,02:00,3.60935,R,ugm-3,5.92263,R,ugm-3,11.45689,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2025,03:00,1.27197,R,ugm-3,3.12488,R,ugm-3,5.0752,R,ugm-3,1,R,ugm-3 (BAM)
01-01-2025,04:00,1.98949,R,ugm-3,2.52719,R,ugm-3,5.5777,R,ugm-3,0,R,ugm-3 (BAM)
01-01-2025,05:00,1.53289,R,ugm-3,3.27755,R,ugm-3,5.62794,R,ugm-3,0,R,ugm-3 (BAM)
01-01-2025,06:00,1.69596,R,ugm-3,3.58026,R,ugm-3,6.18069,R,ugm-3,-2,R,ugm-3 (BAM)
01-01-2025,07:00,2.6744,R,ugm-3,5.59747,R,ugm-3,9.69815,R,ugm-3,1,R,ugm-3 (BAM)
01-01-2025,08:00,4.89219,R,ugm-3,9.58358,R,ugm-3,17.08483,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2025,09:00,5.87063,R,ugm-3,12.70629,R,ugm-3,21.70779,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2025,10:00,3.45715,R,ugm-3,6.30675,R,ugm-3,11.60764,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2025,11:00,6.19677,R,ugm-3,9.74398,R,ugm-3,19.24556,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2025,12:00,7.10998,R,ugm-3,6.78601,R,ugm-3,17.68783,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2025,13:00,7.89273,R,ugm-3,12.11825,R,ugm-3,24.22026,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2025,14:00,10.76281,R,ugm-3,14.95344,R,ugm-3,31.45619,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2025,15:00,12.19785,R,ugm-3,16.42129,R,ugm-3,35.1244,R,ugm-3,3,R,ugm-3 (BAM)
01-01-2025,16:00,18.94907,R,ugm-3,23.20464,R,ugm-3,52.25948,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2025,17:00,35.71297,R,ugm-3,38.9562,R,ugm-3,93.71532,R,ugm-3,5,R,ugm-3 (BAM)
01-01-2025,18:00,16.01376,R,ugm-3,21.8262,R,ugm-3,46.38029,R,ugm-3,5,R,ugm-3 (BAM)
01-01-2025,19:00,24.78708,R,ugm-3,29.27775,R,ugm-3,67.28409,R,ugm-3,8,R,ugm-3 (BAM)
01-01-2025,20:00,34.76715,R,ugm-3,35.23074,R,ugm-3,88.53963,R,ugm-3,6,R,ugm-3 (BAM)
01-01-2025,21:00,28.43992,R,ugm-3,35.78695,R,ugm-3,79.39422,R,ugm-3,5,R,ugm-3 (BAM)
01-01-2025,22:00,41.94236,R,ugm-3,37.44453,R,ugm-3,101.75524,R,ugm-3,9,R,ugm-3 (BAM)
01-01-2025,23:00,16.89436,R,ugm-3,29.31989,R,ugm-3,55.2242,R,ugm-3,8,R,ugm-3 (BAM)
01-01-2025,24:00:00,11.67602,R,ugm-3,23.15086,R,ugm-3,41.05384,R,ugm-3,4,R,ugm-3 (BAM)
