Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit,Ozone,status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status,unit
01-01-2024,01:00,2.575,R,ugm-3 (FIDAS),2.63061,R,ugm-3,8.01641,R,ugm-3,12.04996,R,ugm-3,63.39674,R,ugm-3,1.887,R,ugm-3 (Ref.eq)
01-01-2024,02:00,3.8,R,ugm-3 (FIDAS),0.71246,R,ugm-3,10.87327,R,ugm-3,11.96569,R,ugm-3,62.9976,R,ugm-3,2.783,R,ugm-3 (Ref.eq)
01-01-2024,03:00,4.225,R,ugm-3 (FIDAS),1.72634,R,ugm-3,6.01126,R,ugm-3,8.65827,R,ugm-3,65.15961,R,ugm-3,2.476,R,ugm-3 (Ref.eq)
01-01-2024,04:00,5.3,R,ugm-3 (FIDAS),0.86317,R,ugm-3,4.9332,R,ugm-3,6.25671,R,ugm-3,65.15961,R,ugm-3,2.901,R,ugm-3 (Ref.eq)
01-01-2024,05:00,7.375,R,ugm-3 (FIDAS),0.69876,R,ugm-3,4.49011,R,ugm-3,5.56152,R,ugm-3,65.40907,R,ugm-3,3.514,R,ugm-3 (Ref.eq)
01-01-2024,06:00,7,R,ugm-3 (FIDAS),0.32883,R,ugm-3,3.41415,R,ugm-3,3.91834,R,ugm-3,65.45896,R,ugm-3,3.42,R,ugm-3 (Ref.eq)
01-01-2024,07:00,4.6,R,ugm-3 (FIDAS),0.24662,R,ugm-3,3.85619,R,ugm-3,4.23434,R,ugm-3,64.31143,R,ugm-3,2.476,R,ugm-3 (Ref.eq)
01-01-2024,08:00,6.025,R,ugm-3 (FIDAS),0.20552,R,ugm-3,3.85602,R,ugm-3,4.17114,R,ugm-3,64.36133,R,ugm-3,3.137,R,ugm-3 (Ref.eq)
01-01-2024,09:00,6.2,R,ugm-3 (FIDAS),0.20552,R,ugm-3,4.23521,R,ugm-3,4.55033,R,ugm-3,64.81036,R,ugm-3,2.948,R,ugm-3 (Ref.eq)
01-01-2024,10:00,8.1,R,ugm-3 (FIDAS),0.28772,R,ugm-3,4.93075,R,ugm-3,5.37192,R,ugm-3,63.26369,R,ugm-3,3.821,R,ugm-3 (Ref.eq)
01-01-2024,11:00,8.475,R,ugm-3 (FIDAS),0.53434,R,ugm-3,5.0582,R,ugm-3,5.87751,R,ugm-3,64.01208,R,ugm-3,4.127,R,ugm-3 (Ref.eq)
01-01-2024,12:00,8.8,R,ugm-3 (FIDAS),0.65765,R,ugm-3,6.13311,R,ugm-3,7.14149,R,ugm-3,65.40907,R,ugm-3,3.986,R,ugm-3 (Ref.eq)
01-01-2024,13:00,8.95,R,ugm-3 (FIDAS),1.02758,R,ugm-3,5.1867,R,ugm-3,6.7623,R,ugm-3,67.25509,R,ugm-3,4.08,R,ugm-3 (Ref.eq)
01-01-2024,14:00,9.45,R,ugm-3 (FIDAS),1.68523,R,ugm-3,8.85504,R,ugm-3,11.43903,R,ugm-3,62.5153,R,ugm-3,4.552,R,ugm-3 (Ref.eq)
01-01-2024,15:00,11.425,R,ugm-3 (FIDAS),2.34289,R,ugm-3,15.87294,R,ugm-3,19.46531,R,ugm-3,53.13551,R,ugm-3,5.472,R,ugm-3 (Ref.eq)
01-01-2024,16:00,13.35,R,ugm-3 (FIDAS),2.58951,R,ugm-3,21.11951,R,ugm-3,25.09003,R,ugm-3,43.50626,R,ugm-3,6.934,R,ugm-3 (Ref.eq)
01-01-2024,17:00,16.85,R,ugm-3 (FIDAS),2.95944,R,ugm-3,29.90575,R,ugm-3,34.44349,R,ugm-3,33.07873,R,ugm-3,9.693,R,ugm-3 (Ref.eq)
01-01-2024,18:00,15.95,R,ugm-3 (FIDAS),4.27474,R,ugm-3,31.11213,R,ugm-3,37.66664,R,ugm-3,30.634,R,ugm-3,10.047,R,ugm-3 (Ref.eq)
01-01-2024,19:00,9.5,R,ugm-3 (FIDAS),2.42509,R,ugm-3,22.76198,R,ugm-3,26.48041,R,ugm-3,40.11357,R,ugm-3,6.981,R,ugm-3 (Ref.eq)
01-01-2024,20:00,5.2,R,ugm-3 (FIDAS),1.192,R,ugm-3,14.60406,R,ugm-3,16.43176,R,ugm-3,50.44132,R,ugm-3,4.057,R,ugm-3 (Ref.eq)
01-01-2024,21:00,2.6,R,ugm-3 (FIDAS),1.02758,R,ugm-3,13.14978,R,ugm-3,14.72538,R,ugm-3,54.08347,R,ugm-3,1.958,R,ugm-3 (Ref.eq)
01-01-2024,22:00,1.725,R,ugm-3 (FIDAS),1.06869,R,ugm-3,13.84514,R,ugm-3,15.48377,R,ugm-3,50.591,R,ugm-3,1.25,R,ugm-3 (Ref.eq)
01-01-2024,23:00,1.975,R,ugm-3 (FIDAS),1.2742,R,ugm-3,17.51156,R,ugm-3,19.46531,R,ugm-3,42.75787,R,ugm-3,1.533,R,ugm-3 (Ref.eq)
01-01-2024,24:00:00,2.825,R,ugm-3 (FIDAS),0.90427,R,ugm-3,22.43952,R,ugm-3,23.82605,R,ugm-3,38.16776,R,ugm-3,2.406,R,ugm-3 (Ref.eq)
02-01-2024,01:00,1.975,R,ugm-3 (FIDAS),1.04606,R,ugm-3,20.91064,R,ugm-3,22.51457,R,ugm-3,41.44404,R,ugm-3,1.604,R,ugm-3 (Ref.eq)
02-01-2024,02:00,3.85,R,ugm-3 (FIDAS),0.27528,R,ugm-3,3.21749,R,ugm-3,3.63957,R,ugm-3,73.30871,R,ugm-3,2.359,R,ugm-3 (Ref.eq)
02-01-2024,03:00,5.55,R,ugm-3 (FIDAS),0.24775,R,ugm-3,2.47676,R,ugm-3,2.85664,R,ugm-3,74.33983,R,ugm-3,3.373,R,ugm-3 (Ref.eq)
