time,temperature_2m (°C),wind_speed_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),rain (mm),precipitation (mm)
2023-01-01 01:00,9,27.7,88,208,0,0
2023-01-01 02:00,8.9,29.2,84,219,0,0
2023-01-01 03:00,8.1,30.1,81,229,0,0
2023-01-01 04:00,7.5,28.3,82,230,0,0
2023-01-01 05:00,7.1,28.6,84,220,0,0
2023-01-01 06:00,7.2,29.8,83,222,0,0
2023-01-01 07:00,7.2,28.9,83,219,0,0
2023-01-01 08:00,7.3,27.2,82,217,0,0
2023-01-01 09:00,7.4,27.5,82,214,0,0
2023-01-01 10:00,8.4,26,78,214,0,0
2023-01-01 11:00,8.9,24.3,77,207,0,0
2023-01-01 12:00,9.6,25.4,77,212,0,0
2023-01-01 13:00,9.8,25,77,208,0,0
2023-01-01 14:00,9.5,22.4,79,210,0,0
2023-01-01 15:00,9.2,22.6,79,211,0,0
2023-01-01 16:00,8.5,18.7,83,210,0,0
2023-01-01 17:00,8.2,16.7,84,213,0,0
2023-01-01 18:00,8,16.5,85,216,0,0
2023-01-01 19:00,7.7,16.6,87,207,0,0
2023-01-01 20:00,7.4,16.6,87,202,0,0
2023-01-01 21:00,7.2,18.3,89,200,0,0
2023-01-01 22:00,7.1,18.5,90,204,0,0
2023-01-01 23:00,6.9,18.2,90,214,0,0
2023-01-02 00:00,6.1,13.8,90,208,0,0
2023-01-02 01:00,5.8,13.5,91,214,0,0
2023-01-02 02:00,5.6,14.3,88,223,0,0
2023-01-02 03:00,6.1,14,87,241,0,0
2023-01-02 04:00,6,13.7,89,270,0,0
2023-01-02 05:00,5.4,14,89,282,0,0
2023-01-02 06:00,4.9,11.5,88,270,0,0
2023-01-02 07:00,4.2,10.8,90,274,0,0
2023-01-02 08:00,3,6.2,90,263,0,0
2023-01-02 09:00,2.4,7.9,89,240,0,0
2023-01-02 10:00,3.8,12.4,81,262,0,0
2023-01-02 11:00,5.1,11.5,74,272,0,0
2023-01-02 12:00,6.2,11.9,66,265,0,0
2023-01-02 13:00,6.3,13.7,66,268,0,0
2023-01-02 14:00,6.1,11.7,71,259,0,0
2023-01-02 15:00,5.2,7,77,249,0,0
2023-01-02 16:00,2.5,6.9,88,231,0,0
2023-01-02 17:00,1.7,6.6,91,225,0,0
2023-01-02 18:00,1.1,7.6,93,225,0,0
2023-01-02 19:00,0.5,7.4,94,223,0,0
2023-01-02 20:00,0.2,7.9,94,219,0,0
2023-01-02 21:00,0.2,8.5,94,216,0,0
2023-01-02 22:00,0.1,8.5,95,208,0,0
2023-01-02 23:00,0,9.4,95,203,0,0
2023-01-03 00:00,0.1,9.7,93,195,0,0
2023-01-03 01:00,0,11.4,92,193,0,0
2023-01-03 02:00,0.1,11.9,92,194,0,0
2023-01-03 03:00,0.2,11.3,94,189,0,0
2023-01-03 04:00,0.4,12.3,94,183,0,0
2023-01-03 05:00,1.2,16.2,94,180,0,0
2023-01-03 06:00,2,18,95,182,0,0
2023-01-03 07:00,3,19.2,95,175,0,0
2023-01-03 08:00,4.1,21.2,95,179,0,0
2023-01-03 09:00,5.6,24.5,91,183,0.1,0.1
2023-01-03 10:00,7.1,27.5,90,191,0.2,0.2
2023-01-03 11:00,7.9,25.1,92,187,0.2,0.2
2023-01-03 12:00,8.5,22,92,190,0.1,0.1
2023-01-03 13:00,9.2,22,91,191,0.1,0.1
2023-01-03 14:00,9.4,23.8,92,190,0.1,0.1
2023-01-03 15:00,9.5,24.7,91,188,0,0
2023-01-03 16:00,9.7,27.5,89,191,0.1,0.1
2023-01-03 17:00,10.1,30.6,89,195,0.3,0.3
2023-01-03 18:00,10.1,30.1,91,195,1.4,1.4
2023-01-03 19:00,10.5,27.2,91,198,0.1,0.1
2023-01-03 20:00,10.9,26.9,90,203,0,0
2023-01-03 21:00,11.3,26.6,90,210,0.1,0.1
2023-01-03 22:00,11.8,26.2,89,212,1.4,1.4
2023-01-03 23:00,12,31.5,88,219,0.7,0.7
2023-01-04 00:00,12.1,36.5,88,221,0,0
2023-01-04 01:00,12.2,37.2,88,227,0.1,0.1
2023-01-04 02:00,12.4,35,86,230,0.3,0.3
2023-01-04 03:00,12.5,33.4,85,228,0,0
2023-01-04 04:00,12.2,32.1,85,233,0,0
2023-01-04 05:00,12.3,29.8,84,240,0,0
2023-01-04 06:00,11.7,30.6,84,242,0,0
2023-01-04 07:00,11.1,30.1,85,241,0,0
2023-01-04 08:00,11.3,31.9,83,245,0,0
2023-01-04 09:00,10.9,33.2,80,249,0,0
2023-01-04 10:00,11,33.3,78,248,0,0
2023-01-04 11:00,11.3,34.8,76,249,0,0
2023-01-04 12:00,11.7,32.9,75,245,0,0
2023-01-04 13:00,11.9,32.2,73,250,0,0
2023-01-04 14:00,11.7,31,73,257,0,0
2023-01-04 15:00,11.1,30.2,75,261,0,0
2023-01-04 16:00,10.6,31.9,77,263,0,0
2023-01-04 17:00,10.6,31.5,76,264,0,0
2023-01-04 18:00,10.5,31,76,269,0,0
2023-01-04 19:00,10.2,29.9,77,269,0,0
2023-01-04 20:00,10.2,29.2,77,266,0,0
2023-01-04 21:00,10.2,28.2,79,264,0,0
2023-01-04 22:00,10.3,29.2,79,269,0,0
2023-01-04 23:00,10.2,26.3,79,270,0,0
2023-01-05 00:00,10,20.5,82,271,0,0
2023-01-05 01:00,10.1,19.4,79,269,0,0
2023-01-05 02:00,9.9,16.1,80,260,0,0
2023-01-05 03:00,9.8,14,80,247,0,0
2023-01-05 04:00,9.2,13.2,83,244,0,0
2023-01-05 05:00,9,11.4,84,235,0,0
2023-01-05 06:00,8.6,11.1,86,216,0,0
2023-01-05 07:00,8,11.6,90,202,0,0
2023-01-05 08:00,8,13.5,91,205,0,0
2023-01-05 09:00,8.5,14.4,92,202,0,0
2023-01-05 10:00,9,17.9,91,195,0.1,0.1
2023-01-05 11:00,9.8,19.1,89,202,0,0
2023-01-05 12:00,10.8,17.8,90,216,0,0
2023-01-05 13:00,11.6,18.3,86,212,0,0
2023-01-05 14:00,11.4,21.2,87,212,0,0
2023-01-05 15:00,11.3,21.4,85,207,0,0
2023-01-05 16:00,10.5,20.4,88,206,0,0
2023-01-05 17:00,10.5,22.4,86,206,0,0
2023-01-05 18:00,10.3,23.3,87,200,0,0
2023-01-05 19:00,10.9,27.5,84,206,0,0
2023-01-05 20:00,10.9,29.6,83,206,0,0
2023-01-05 21:00,10.9,32.6,83,203,0,0
2023-01-05 22:00,11.2,32.4,83,206,0.1,0.1
2023-01-05 23:00,10.7,27.7,89,238,1.6,1.6
2023-01-06 00:00,7.7,22.7,84,266,3.5,3.5
2023-01-06 01:00,7.7,22.9,80,248,0.1,0.1
2023-01-06 02:00,7.8,25.1,81,243,0,0
2023-01-06 03:00,7.2,25,84,237,0,0
2023-01-06 04:00,7,24.8,82,240,0,0
2023-01-06 05:00,6.6,22,80,238,0,0
2023-01-06 06:00,6.3,20.7,80,231,0,0
2023-01-06 07:00,6.3,20.9,81,228,0,0
2023-01-06 08:00,6.3,20,84,214,0,0
2023-01-06 09:00,6.5,20.5,86,208,0,0
2023-01-06 10:00,7.4,21.5,84,215,0,0
2023-01-06 11:00,8.4,22.8,81,215,0,0
2023-01-06 12:00,8.8,19.3,83,201,0,0
2023-01-06 13:00,9.3,25.8,82,210,0,0
2023-01-06 14:00,9.1,21.4,87,197,0,0
2023-01-06 15:00,8.6,21.7,89,195,0,0
2023-01-06 16:00,8.7,18.5,88,188,0,0
2023-01-06 17:00,8.7,21.5,87,189,0.2,0.2
2023-01-06 18:00,8.5,20.2,86,183,0,0
2023-01-06 19:00,7.9,18.1,89,174,0.5,0.5
2023-01-06 20:00,8.4,19.3,91,166,0.1,0.1
2023-01-06 21:00,9.1,19,93,170,0.1,0.1
2023-01-06 22:00,11.1,25.7,89,195,0,0
2023-01-06 23:00,11.1,29.3,88,194,0,0
2023-01-07 00:00,11.2,29.2,89,193,0,0
2023-01-07 01:00,11.4,35.2,89,191,0,0
2023-01-07 02:00,11.3,35,88,189,0.1,0.1
2023-01-07 03:00,11.1,33.3,88,186,0.1,0.1
2023-01-07 04:00,11.1,33.2,88,185,0.3,0.3
2023-01-07 05:00,10.9,33.5,88,182,0.1,0.1
2023-01-07 06:00,10.7,33.5,88,180,0.2,0.2
2023-01-07 07:00,10.3,33.9,90,178,0.3,0.3
2023-01-07 08:00,10.2,33.5,90,178,1,1
2023-01-07 09:00,10.2,36,89,183,1.4,1.4
2023-01-07 10:00,10.3,32.4,90,189,1,1
2023-01-07 11:00,10.4,31.1,91,191,0.5,0.5
2023-01-07 12:00,10.2,30.1,89,201,1,1
2023-01-07 13:00,10.5,25.7,88,202,0,0
2023-01-07 14:00,10.4,23.1,86,203,0,0
